District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden(M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,38,37.80,31.00,3.12,3.60,5.95,0.82,1.05,2.38,3.94,4.65,8.33
2,Barishal,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
3,Bhola,0,0.00,2.00,0,0.00,10.48,0,0.00,2.67,0,0.00,13.15
4,Jhallokati,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
5,Patuakhali,0,0.34,0.00,0,0.00,0.00,0,1.09,0.00,0,1.09,0.00
6,Pirojpur,0,2.08,2.00,0,0.00,3.74,0,3.98,0.71,0,3.98,4.45
Barishal Division,None,38,40.22,35.00,3.12,3.60,20.17,0.82,6.12,5.76,3.94,9.72,25.93
7,Bandarban,20.90,20.90,20.90,10.33,10.83,10.84,0.05,0.00,0.00,10.38,10.83,10.84
8,Brahmanbaria,20.99,12.97,12.98,15.31,28.06,39.17,0,0.00,0.00,15.31,28.06,39.17
9,Chandpur,0,0.00,1.55,0,0.00,7.70,0,0.00,2.86,0,0.00,10.56
10,Chattogram,5.46,7.50,9.57,15.61,22.31,36.09,0.05,0.07,0.25,15.66,22.38,36.34
11,Cumilla,89.03,99.51,104.41,30.66,25.69,30.92,7.56,12.95,11.25,38.22,38.64,42.17
12,Cox’s Bazar,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
13,Feni,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
14,Khagrachari,19.70,32.41,37.35,19.03,25.37,30.08,1.63,1.57,1.65,20.66,26.94,31.73
15,Lakshmipur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
16,Noakhali,0,2.62,2.76,0,21.18,21.89,0,0.00,0.00,0,21.18,21.89
17,Rangamati,23.06,24.10,37.84,31.15,33.01,50.26,4.14,5.11,12.23,35.29,38.12,62.49
Chattogram Division,None,179.14,200.01,227.36,122.09,166.45,226.95,13.43,19.70,28.24,135.52,186.15,255.19
18,Dhaka,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
19,Faridpur,0,0.70,11.00,0,6.95,757.81,0,0.24,0.00,0,7.19,757.81
20,Gazipur,9,10.00,10.00,6.03,7.30,14.84,4.97,4.70,7.16,11,12.00,22.00
21,Gopalganj,0,0.00,4.39,0,0.00,26.54,0,0.00,0.00,0,0.00,26.54
22,Kishoreganj,10.13,14.37,14.03,5.48,5.79,5.58,1.79,1.82,2.08,7.27,7.61,7.66
23,Madaripur,0,2.35,2.63,0,4.83,5.12,0,0.84,0.92,0,5.67,6.04
24,Manikganj,0,0.60,0.60,0,1.50,1.60,0,0.00,0.00,0,1.50,1.60
25,Munshiganj,0.70,0.66,11.30,3.15,3.69,21.37,0,0.00,0.00,3.15,3.69,21.37
26,Narayanganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
27,Narsingdi,8.30,7.32,7.44,27,27.72,30.06,0,0.02,0.09,27,27.74,30.15
28,Rajbari,4.33,0.00,4.08,56.29,0.00,49.93,7.71,0.00,22.05,64,0.00,71.98
29,Shariatpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
30,Tangail,0,95.60,105.37,0,457.62,658.13,0,39.56,59.05,0,497.18,717.18
Dhaka Division,None,32.46,131.60,170.84,97.95,515.40,1570.98,14.47,47.18,91.35,112.42,562.58,1662.33
31,Bagerhat,5.56,4.79,5.75,49.90,42.71,49.14,0.07,0.07,22.06,49.97,42.78,71.20
32,Chuadanga,92.31,90.05,118.39,163.78,332.93,460.67,4.29,6.68,10.61,168.07,339.61,471.28
33,Jashore,0,64.94,276.06,0,212.53,661.23,0,2.41,7.34,0,214.94,668.57
34,Jhenaidah,154,183.49,579.08,1598.09,1718.29,2936.19,18.91,22.82,0.00,1617,1741.11,2936.19
35,Khulna,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
36,Kushtia,0,0.00,2.70,0,0.00,9.00,0,0.00,0.00,0,0.00,9.00
37,Magura,0,24.22,16.38,0,5.40,72.31,0,0.07,0.24,0,5.47,72.55
38,Meherpur,0,4.79,5.96,0,5.09,10.75,0,1.46,2.42,0,6.55,13.17
39,Narail,0,3.15,3.15,0,0.00,3.48,0,0.00,0.00,0,0.00,3.48
40,Satkhira,0,13.73,14.60,0,54.99,57.49,0,2.27,2.76,0,57.26,60.25
Khulna Division,None,251.87,389.16,"1022.0
7",1811.77,"2371.9
4","4260.2
6",23.27,35.78,45.43,"1835.0
4","2407.7
2","4305.6
9"
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,3,18.00,18.00,0,1.25,5.78,0,5.75,7.22,0,7.00,13.00
42,Mymensingh,4,44.00,44.00,0,123.69,129.18,0,28.31,26.82,0,152.00,156.00
43,Netrokona,2,17.00,17.00,0,56.18,61.18,0,0.06,0.07,0,56.24,61.25
44,Sherpur,2,10.00,22.00,0,8.56,3.09,0,0.00,1.91,0,8.56,5.00
Mymensingh Division,None,11,89.00,101.00,0,189.68,199.23,0,34.12,36.02,0,223.80,235.25
45,Bogura,1,5.37,18.77,0.99,7.11,142.74,0.01,0.01,0.00,1,7.12,142.74
46,Joypurhat,0,1.91,2.25,0,10.82,9.03,0,1.25,2.77,0,12.07,11.80
47,Naogaon,34,35.47,53.61,140.92,425.22,683.01,0.08,0.42,0.00,141,425.64,683.01
48,Natore,83,125.70,127.88,649.66,"1604.9
9","1743.1
5",3.34,4.31,3.85,653,"1609.3
0","1747.0
0"
