District,Year,Hectares,Production_MT
Barguna,2018-19,13.0,0.0
Barguna,2019-20,0.0,0.0
Barishal,2018-19,29.0,0.0
Barishal,2019-20,0.0,0.0
Bhola,2018-19,19.0,0.0
Bhola,2019-20,0.0,0.0
Jhallokati,2018-19,15.0,0.0
Jhallokati,2019-20,0.0,0.0
Patuakhali,2018-19,30.0,0.0
Patuakhali,2019-20,0.0,0.0
Pirojpur,2018-19,2.0,0.0
Pirojpur,2019-20,0.0,0.0
Barishal Division,2018-19,108.0,0.0
Barishal Division,2019-20,0.0,0.0
Bandarban,2018-19,0.0,0.0
Bandarban,2019-20,0.0,0.0
Brahmanbaria,2018-19,38.0,0.0
Brahmanbaria,2019-20,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chandpur,2019-20,0.0,0.0
Chattogram,2018-19,0.0,0.0
Chattogram,2019-20,0.0,0.0
Cumilla,2018-19,0.0,0.0
Cumilla,2019-20,0.0,0.0
Cox’s Bazar,2018-19,0.0,0.0
Cox’s Bazar,2019-20,0.0,0.0
Feni,2018-19,1.0,0.0
Feni,2019-20,0.0,0.0
Khagrachari,2018-19,3.0,0.0
Khagrachari,2019-20,0.0,0.0
Lakshmipur,2018-19,0.37,0.0
Lakshmipur,2019-20,0.0,0.0
Noakhali,2018-19,0.0,0.0
Noakhali,2019-20,0.0,0.0
Rangamati,2018-19,20.0,0.0
Rangamati,2019-20,0.0,0.0
"Chattogram
Division",2018-19,62.0,0.0
"Chattogram
Division",2019-20,0.0,0.0
Dhaka,2018-19,14.0,0.0
Dhaka,2019-20,0.0,0.0
Faridpur,2018-19,20.0,21.0
Faridpur,2019-20,0.0,0.0
Gazipur,2018-19,132.0,0.0
Gazipur,2019-20,0.0,0.0
Gopalganj,2018-19,9.0,0.0
Gopalganj,2019-20,0.0,0.0
Kishoreganj,2018-19,8.0,0.0
Kishoreganj,2019-20,0.0,0.0
Madaripur,2018-19,7.0,0.0
Madaripur,2019-20,0.0,0.0
Manikganj,2018-19,126.0,0.0
Manikganj,2019-20,0.0,0.0
Munshiganj,2018-19,6.0,0.0
Munshiganj,2019-20,0.0,0.0
Narayanganj,2018-19,5.0,0.0
Narayanganj,2019-20,0.0,0.0
Narsingdi,2018-19,10.0,0.0
Narsingdi,2019-20,0.0,0.0
Rajbari,2018-19,6.0,0.0
Rajbari,2019-20,0.0,0.0
Shariatpur,2018-19,6.0,62.0
Shariatpur,2019-20,0.0,0.0
Tangail,2018-19,0.0,0.0
Tangail,2019-20,0.0,0.0
Dhaka Division,2018-19,349.0,83.0
Dhaka Division,2019-20,0.0,0.0
Bagerhat,2018-19,0.0,0.0
Bagerhat,2019-20,0.0,0.0
Chuadanga,2018-19,0.0,0.0
Chuadanga,2019-20,0.0,0.0
Jashore,2018-19,0.0,0.0
Jashore,2019-20,0.0,0.0
Jhenaidah,2018-19,3.0,0.0
Jhenaidah,2019-20,0.0,0.0
Khulna,2018-19,3.0,0.0
Khulna,2019-20,0.0,0.0
Kushtia,2018-19,6.0,0.0
Kushtia,2019-20,0.0,0.0
Magura,2018-19,0.0,0.0
Magura,2019-20,0.0,0.0
Meherpur,2018-19,0.0,0.0
Meherpur,2019-20,0.0,0.0
Narail,2018-19,6.0,8.0
Narail,2019-20,0.0,0.0
Satkhira,2018-19,84.0,0.0
Satkhira,2019-20,0.0,0.0
Khulna Division,2018-19,102.0,8.0
Khulna Division,2019-20,0.0,0.0
Jamalpur,2018-19,0.0,0.0
Jamalpur,2019-20,0.0,0.0
Mymensingh,2018-19,0.0,0.0
Mymensingh,2019-20,0.0,0.0
Netrokona,2018-19,0.0,0.0
Netrokona,2019-20,0.0,0.0
Sherpur,2018-19,0.0,0.0
Sherpur,2019-20,0.0,0.0
"Mymensingh
Division",2018-19,0.0,0.0
"Mymensingh
Division",2019-20,0.0,0.0
Bogura,2018-19,7.0,0.0
Bogura,2019-20,0.0,0.0
Joypurhat,2018-19,0.0,0.0
Joypurhat,2019-20,0.0,0.0
Naogaon,2018-19,0.0,0.0
Naogaon,2019-20,0.0,0.0
Natore,2018-19,0.0,0.0
Natore,2019-20,0.0,0.0
Chapai Nawabganj,2018-19,1.0,0.0
Chapai Nawabganj,2019-20,0.0,0.0
Pabna,2018-19,0.0,0.0
Pabna,2019-20,0.0,0.0
Rajshahi,2018-19,2.0,0.0
Rajshahi,2019-20,0.0,0.0
Sirajganj,2018-19,0.0,0.0
Sirajganj,2019-20,0.0,0.0
Rajshahi Division,2018-19,10.0,0.0
Rajshahi Division,2019-20,0.0,0.0
Dinajpur,2018-19,0.37,0.0
Dinajpur,2019-20,0.0,0.0
Gaibandha,2018-19,0.0,0.0
Gaibandha,2019-20,0.0,0.0
Kurigram,2018-19,0.0,0.0
Kurigram,2019-20,0.0,0.0
Lalmonirhat,2018-19,0.0,0.0
Lalmonirhat,2019-20,0.0,0.0
Nilphamari,2018-19,0.0,0.0
Nilphamari,2019-20,0.0,0.0
Panchagar,2018-19,8.0,0.0
Panchagar,2019-20,0.0,0.0
Rangpur,2018-19,0.0,0.0
Rangpur,2019-20,0.0,0.0
Thakurgaon,2018-19,0.0,0.0
Thakurgaon,2019-20,0.0,0.0
Rangpur Divison,2018-19,8.0,0.0
Rangpur Divison,2019-20,0.0,0.0
Habiganj,2018-19,0.0,0.0
Habiganj,2019-20,0.0,0.0
Moulvibazar,2018-19,0.0,0.0
Moulvibazar,2019-20,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sunamganj,2019-20,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet,2019-20,0.0,0.0
Sylhet Division,2018-19,0.0,0.0
Sylhet Division,2019-20,0.0,0.0
Barguna,2020-21,20.68,0.0
Barguna,2021-22,6.0,6.0
Barishal,2020-21,30.95,0.0
Barishal,2021-22,60.0,60.0
Bhola,2020-21,1.91,0.0
Bhola,2021-22,8.0,8.0
Jhallokati,2020-21,14.85,0.0
Jhallokati,2021-22,15.0,15.0
Patuakhali,2020-21,34.31,0.0
Patuakhali,2021-22,26.0,26.0
Pirojpur,2020-21,1.67,0.0
Pirojpur,2021-22,2.0,2.0
Barishal Division,2020-21,104.37,0.0
Barishal Division,2021-22,117.0,117.0
Bandarban,2020-21,26.1,0.0
Bandarban,2021-22,1.0,1.0
Brahmanbaria,2020-21,44.89,0.0
Brahmanbaria,2021-22,105.0,105.0
Chandpur,2020-21,5.76,0.0
Chandpur,2021-22,0.0,0.0
Chattogram,2020-21,43.7,0.0
Chattogram,2021-22,84.0,84.0
Cumilla,2020-21,42.0,29.75
Cumilla,2021-22,11.0,39.0
Cox’s Bazar,2020-21,8.31,0.0
Cox’s Bazar,2021-22,4.0,4.0
Feni,2020-21,0.89,0.0
Feni,2021-22,2.0,2.0
Khagrachari,2020-21,1.25,0.0
Khagrachari,2021-22,1.0,1.0
Lakshmipur,2020-21,8.3,0.0
Lakshmipur,2021-22,6.0,6.0
Noakhali,2020-21,0.67,0.0
Noakhali,2021-22,0.0,0.0
Rangamati,2020-21,24.3,0.36
Rangamati,2021-22,27.0,27.0
"Chattogram
Division",2020-21,206.17,30.11
"Chattogram
Division",2021-22,241.0,269.0
Dhaka,2020-21,13.35,0.0
Dhaka,2021-22,48.0,48.0
Faridpur,2020-21,139.0,14.77
Faridpur,2021-22,357.0,379.0
Gazipur,2020-21,9.0,0.0
Gazipur,2021-22,18.0,18.0
Gopalganj,2020-21,12.0,0.0
Gopalganj,2021-22,123.0,123.0
