District,Year,Hectares,Production_MT
Barguna,2018-19,0.0,0.0
Barguna,2019-20,0.0,0.0
Barishal,2018-19,0.0,0.0
Barishal,2019-20,0.0,0.0
Bhola,2018-19,0.0,0.0
Bhola,2019-20,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Jhalokathi,2019-20,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Patuakhali,2019-20,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Pirojpur,2019-20,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Barishal Division,2019-20,0.0,0.0
Bandarban,2018-19,0.0,0.0
Bandarban,2019-20,0.0,0.0
Brahmanbaria,2018-19,0.0,0.0
Brahmanbaria,2019-20,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chandpur,2019-20,0.0,0.0
Chattogram,2018-19,0.0,0.0
Chattogram,2019-20,0.0,0.0
Cumilla,2018-19,2.0,0.0
Cumilla,2019-20,0.0,0.0
Cox’s Bazar,2018-19,0.0,0.0
Cox’s Bazar,2019-20,0.0,0.0
Feni,2018-19,0.0,0.0
Feni,2019-20,0.0,0.0
Khagrachhari,2018-19,0.0,0.0
Khagrachhari,2019-20,0.0,0.0
Lakshmipur,2018-19,0.0,0.0
Lakshmipur,2019-20,0.0,0.0
Noakhali,2018-19,0.0,0.0
Noakhali,2019-20,0.0,0.0
Rangamati,2018-19,0.0,0.0
Rangamati,2019-20,0.0,0.0
"Chattogram
Division",2018-19,2.0,0.0
"Chattogram
Division",2019-20,0.0,0.0
Dhaka,2018-19,0.0,0.0
Dhaka,2019-20,0.0,0.0
Faridpur,2018-19,0.0,0.0
Faridpur,2019-20,0.0,0.0
Gazipur,2018-19,8.0,0.0
Gazipur,2019-20,0.0,0.0
Gopalganj,2018-19,0.0,0.0
Gopalganj,2019-20,0.0,0.0
Kishoreganj,2018-19,0.0,0.0
Kishoreganj,2019-20,0.0,0.0
Madaripur,2018-19,0.0,0.0
Madaripur,2019-20,0.0,0.0
Manikganj,2018-19,0.0,0.0
Manikganj,2019-20,0.0,0.0
Munshiganj,2018-19,1.0,0.0
Munshiganj,2019-20,0.0,0.0
Narayanganj,2018-19,4.0,7.0
Narayanganj,2019-20,0.0,0.0
Narsingdi,2018-19,0.0,0.0
Narsingdi,2019-20,0.0,0.0
Rajbari,2018-19,0.0,0.0
Rajbari,2019-20,0.0,0.0
Shariatpur,2018-19,0.0,0.0
Shariatpur,2019-20,0.0,0.0
Tangail,2018-19,1.0,0.0
Tangail,2019-20,0.0,0.0
Dhaka Division,2018-19,14.0,7.0
Dhaka Division,2019-20,0.0,0.0
Bagerhat,2018-19,7.0,0.0
Bagerhat,2019-20,0.0,0.0
Chuadanga,2018-19,1.0,0.0
Chuadanga,2019-20,0.0,0.0
Jessore,2018-19,2.0,0.0
Jessore,2019-20,0.0,0.0
Jhenaidah,2018-19,0.0,0.0
Jhenaidah,2019-20,0.0,0.0
Khulna,2018-19,7.0,0.0
Khulna,2019-20,0.0,0.0
Kushtia,2018-19,0.0,0.0
Kushtia,2019-20,0.0,0.0
Magura,2018-19,0.0,0.0
Magura,2019-20,0.0,0.0
Meherpur,2018-19,0.0,0.0
Meherpur,2019-20,0.0,0.0
Narail,2018-19,0.0,0.0
Narail,2019-20,0.0,0.0
Satkhira,2018-19,2.0,0.0
Satkhira,2019-20,0.0,0.0
Khulna Division,2018-19,19.0,0.0
Khulna Division,2019-20,0.0,0.0
Jamalpur,2018-19,0.0,0.0
Jamalpur,2019-20,0.0,0.0
Mymensinghh,2018-19,0.0,0.0
Mymensinghh,2019-20,0.0,0.0
Netrokona,2018-19,0.0,0.0
Netrokona,2019-20,0.0,0.0
Sherpur,2018-19,0.0,0.0
Sherpur,2019-20,0.0,0.0
"Mymensinghh
Division",2018-19,0.0,0.0
"Mymensinghh
Division",2019-20,0.0,0.0
