District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,3196.0,6632.0
Brahmanbaria,2018-19,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,18.0,56.0
Cumilla,2018-19,0.0,0.0
Cox’s Bazar,2018-19,389.0,353.0
Feni,2018-19,0.0,0.0
Khagrachhari,2018-19,2263.0,2015.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,0.0
Rangamati,2018-19,1258.0,1425.2
Chattogram Division,2018-19,7124.0,10481.2
Dhaka,2018-19,0.0,0.0
Faridpur,2018-19,41.0,102.0
Gazipur,2018-19,0.0,0.0
Gopalganj,2018-19,0.0,0.0
Kishoreganj,2018-19,0.0,0.0
Madaripur,2018-19,0.0,0.0
Manikganj,2018-19,3605.0,5413.0
Munshiganj,2018-19,2.0,4.0
Narayanganj,2018-19,0.0,0.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,102.0,99.25
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,180.0,370.5
Dhaka Division,2018-19,3930.0,5988.75
Bagerhat,2018-19,0.0,0.0
Chuadanga,2018-19,2378.0,2514.0
Jessore,2018-19,0.0,0.0
Jhenaidah,2018-19,3331.0,3995.0
Khulna,2018-19,0.0,0.0
Kushtia,2018-19,37437.0,32794.0
Magura,2018-19,1.0,0.0
Meherpur,2018-19,7713.0,6220.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,0.0
Khulna,2018-19,50860.0,45523.0
Jamalpur,2018-19,0.0,0.0
Mymensinghh,2018-19,0.0,0.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,0.0
Mymensinghh Division,2018-19,0.0,0.0
Bogura,2018-19,0.0,0.0
Joypurhat,2018-19,0.0,0.0
Naogaon,2018-19,0.0,0.0
Natore,2018-19,36.0,84.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,0.0,0.0
Rajshahi,2018-19,0.0,0.0
Sirajganj,2018-19,0.0,0.0
Rajshahi Division,2018-19,36.0,84.0
Dinajpur,2018-19,6.0,12.0
Gaibandha,2018-19,64.0,85.0
Kurigram,2018-19,172.0,394.0
Lalmonirhat,2018-19,13923.0,17389.0
Nilphamari,2018-19,8680.0,12070.0
Panchagarh,2018-19,2.0,9.0
Rangpur,2018-19,4477.0,7970.0
Thakurgaon,2018-19,0.0,0.0
Rangpur Divison,2018-19,27324.0,37929.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,0.0,0.0
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,3222.0,6651.0
Brahmanbaria,2020-21,0.0,0.0
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,14.8,19.16
Cumilla,2020-21,0.0,0.0
Cox’s Bazar,2020-21,392.0,388.0
Feni,2020-21,0.0,0.0
Khagrachhari,2020-21,2029.0,2083.0
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,0.0,0.0
Rangamati,2020-21,946.455,1277.68
Chattogram Division,2020-21,6604.255,10418.84
Dhaka,2020-21,0.0,0.0
Faridpur,2020-21,75.0,92.25
Gazipur,2020-21,0.0,0.0
Gopalganj,2020-21,0.0,0.0
Kishoreganj,2020-21,0.0,0.0
Madaripur,2020-21,0.0,0.0
Manikganj,2020-21,4100.4,5433.0
Munshiganj,2020-21,2.71,4.43
Narayanganj,2020-21,0.0,0.0
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,91.42,95.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,190.05,311.0
Dhaka Division,2020-21,4459.58,5935.68
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,0.0,2387.0
Jessore,2020-21,0.0,0.0
Jhenaidah,2020-21,0.0,4018.0
Khulna,2020-21,0.0,0.0
Kushtia,2020-21,0.0,31974.0
Magura,2020-21,0.0,1.52
Meherpur,2020-21,2491.0,7451.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,3201.0,0.0
Khulna,2020-21,0.0,45831.52
Jamalpur,2020-21,33699.0,37.0
Mymensinghh,2020-21,0.0,0.0
Netrokona,2020-21,6927.0,33.0
Sherpur,2020-21,0.0,0.0
Mymensinghh Division,2020-21,0.0,70.0
Bogura,2020-21,46318.0,0.0
Joypurhat,2020-21,0.0,0.0
Naogaon,2020-21,0.0,0.0
Natore,2020-21,0.0,93.5
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,0.0,0.0
Rajshahi,2020-21,0.0,0.0
Sirajganj,2020-21,0.0,0.0
Rajshahi Division,2020-21,0.0,93.5
Dinajpur,2020-21,41.12,7.0
Gaibandha,2020-21,0.0,62.0
Kurigram,2020-21,0.0,815.06
Lalmonirhat,2020-21,0.0,16897.75
Nilphamari,2020-21,0.0,12073.5
Panchagarh,2020-21,41.12,11.0
Rangpur,2020-21,5.0,8169.0
Thakurgaon,2020-21,56.0,0.0
Rangpur Divison,2020-21,242.0,38035.31
Habiganj,2020-21,14225.0,0.0
Maulvibazar,2020-21,9272.0,0.0
Sunamganj,2020-21,1.8,0.0
Sylhet,2020-21,4628.0,0.0
Sylhet Division,2020-21,0.0,0.0
Bhola,2022-23,0.0,0.0
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,0.0,0.0
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,3243.0,6666.8
Brahmanbaria,2022-23,0.0,0.0
Chandpur,2022-23,0.0,0.0
Chattogram,2022-23,7.19,17.93
Cumilla,2022-23,0.0,0.0
Cox’s Bazar,2022-23,423.0,396.52
Feni,2022-23,0.0,0.0
Khagrachhari,2022-23,2043.0,1951.0
Lakshmipur,2022-23,0.0,0.0
Noakhali,2022-23,0.0,0.0
Rangamati,2022-23,877.6,1221.65
Dhaka,2022-23,0.0,0.0
Faridpur,2022-23,74.25,135.5
Gazipur,2022-23,0.0,0.0
Gopalganj,2022-23,0.0,0.0
Kishoreganj,2022-23,0.0,0.0
Madaripur,2022-23,0.0,0.0
Manikganj,2022-23,4568.57,4724.6
Munshiganj,2022-23,2.87,4.55
Narayanganj,2022-23,0.0,0.0
Narsingdi,2022-23,0.0,0.0
Rajbari,2022-23,95.0,111.85
Shariatpur,2022-23,0.0,0.0
Tangail,2022-23,163.75,169.0
Bagerhat,2022-23,0.0,0.0
Chuadanga,2022-23,2476.38,2277.0
Jessore,2022-23,0.0,0.0
Jhenaidah,2022-23,3421.2,3240.0
Khulna,2022-23,0.0,0.0
Kushtia,2022-23,35663.0,37348.0
Magura,2022-23,1.31,1.82
Meherpur,2022-23,8411.93,7435.0
Narail,2022-23,0.0,0.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,20.0,40.0
Mymensinghh,2022-23,0.0,0.0
Netrokona,2022-23,34.0,35.0
Sherpur,2022-23,0.0,0.0
Bogura,2022-23,0.0,0.0
Joypurhat,2022-23,0.0,0.0
Naogaon,2022-23,0.0,0.0
Natore,2022-23,86.69,116.83
Chapai Nawabganj,2022-23,0.0,0.0
Pabna,2022-23,0.0,0.0
Rajshahi,2022-23,0.0,0.0
Sirajganj,2022-23,0.0,0.0
Dinajpur,2022-23,3.0,20.0
Gaibandha,2022-23,43.11,72.0
Kurigram,2022-23,424.58,711.0
Lalmonirhat,2022-23,13886.19,18394.5
Nilphamari,2022-23,9461.48,8110.0
Panchagarh,2022-23,2.62,7.0
Rangpur,2022-23,6894.0,7893.0
Thakurgaon,2022-23,0.0,0.0
Habiganj,2022-23,0.0,0.0
Maulvibazar,2022-23,0.0,0.0
Sunamganj,2022-23,0.0,0.0
Sylhet,2022-23,0.0,0.0
