District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
40,Satkhira,1742.20,1768.42,1766.92,1859.05,1855.61,1887.62,15102.95,15012.79,15114.46,16962.00,16868.40,17002.08
Khulna Division,None,8551.00,8439.70,8037.07,16437.46,15390.99,13015.97,99112.50,98174.33,99836.84,115549.96,113565.32,112852.81
41,Jamalpur,513.00,513.00,515.00,0.00,0.00,0.00,5028.00,4979.00,4984.00,5028.00,4979.00,4984.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,1558.00,1575.00,1575.00,0.00,0.00,0.00,12205.00,12253.00,12261.00,12205.00,12253.00,12261.00
43,Netrokona,588.00,549.00,548.00,0.00,0.00,0.00,5497.00,5317.00,5313.00,5497.00,5317.00,5313
44,Sherpur,201.00,201.00,203.00,0.00,0.00,0.00,2073.00,2073.00,2085.00,2073.00,2073.00,2085.00
Mymensingh Division,None,2860.00,2838.00,2841.00,0.00,0.00,0.00,24803.00,24622.00,24643.00,24803.00,24622.00,24643.00
45,Bogura,329.00,326.00,329.26,0.00,0.00,18.07,8695.00,8986.00,9009.51,8695.00,8986.00,9027.58
46,Joypurhat,113.00,113.00,113.50,194.25,182.78,190.61,1317.75,1238.22,1298.55,1512.00,1421.00,1489.16
47,Naogaon,276.00,257.00,256.75,2.68,2.92,3.01,2702.32,2965.08,3090.49,2705.00,2968.00,3093.50
48,Natore,776.00,762.00,803.29,0.00,0.00,0.00,10106.00,10097.00,10216.72,10106.00,10097.00,10216.72
49,Chapai Nawabganj,109.00,160.00,135.60,0.00,0.00,0.00,889.00,1009.00,1027.84,889.00,1009.00,1027.84
50,Pabna,727.00,153.00,159.83,1059.56,258.41,232.80,10871.44,9544.59,8637.60,11931.00,9803.00,8870.40
51,Rajshahi,875.00,876.00,878.08,1125.25,1094.52,1062.32,10162.75,10280.48,10082.57,11288.00,11375.00,11144.89
52,Sirajganj,176.00,168.00,170.00,0.00,0.00,0.00,4670.00,4679.00,4605.51,4670.00,4679.00,460.51
Rajshahi Division,None,3381.00,2815.00,2846.31,2381.74,1538.63,1506.81,49414.26,48799.37,47968.79,51796.00,50338.00,49475.56
53,Dinajpur,324.08,335.00,340.00,0.00,0.00,0.00,2077.00,2359.00,3557.00,2077.00,2359.00,3557.00
54,Gaibandha,580.68,580.68,575.32,0.00,0.00,0.00,2206.98,2206.98,2296.83,2206.98,2206.98,2296.83
55,Kurigram,85.93,93.39,64.00,0.00,0.00,0.00,553.43,565.65,739.00,553.43,565.65,739.00
56,Lalmonirhat,74.89,75.00,69.30,0.00,0.00,0.00,754.26,758.54,810.69,754.26,758.54,810.69
57,Nilphamari,106.04,108.33,110.99,1.74,1.64,1.58,1653.70,1697.11,1708.19,1655.44,1698.75,1709.77
58,Panchagar,127.43,125.31,125.96,56.71,48.64,52.97,1997.96,1777.25,1812.03,2054.67,1825.89,1865.00
59,Rangpur,154.20,155.75,156.54,0.00,0.00,0.00,2311.00,2390.92,2788.00,2311.00,2390.92,2788.00
60,Thakurgaon,58.30,58.34,58.44,0.00,0.00,0.00,709.09,709.61,714.68,709.09,709.61,714.68
Rangpur Divison,None,1511.55,1531.80,1500.55,58.45,50.28,54.55,12263.42,12465.06,14426.42,12321.87,12515.34,14480.97
61,Habiganj,780.02,1020.35,1037.11,0.00,0.00,0.00,3569.19,4303.58,3749.01,3569.19,4303.58,3749.01
62,Moulvibazar,258.69,261.51,257.37,0.00,0.00,0.00,4566.38,4580.86,4363.47,4566.38,4580.86,4363.47
63,Sunamganj,187.00,178.00,178.00,0.00,0.00,0.00,3120.00,3352.00,3353.00,3120.00,3352.00,3353.00
64,Sylhet,1063.00,1059.00,1009.17,104.27,105.60,39.00,1290.73,1335.40,1717.33,1395.00,1441.00,1756.33
Sylhet Division,None,2288.71,2518.86,2481.65,104.27,105.60,39.00,12546.30,13571.84,13182.81,12650.57,13677.44,13221.81
,BANGLADESH,61093.89,55360.28,56665.53,33939.86,32470.10,29597.18,424915.38,424618.11,439562.14,458855.24,457088.21,469159.32
